1: Wei Liu, weight = 3522
4508: Vaidy S. Sunderam, weight = 387
4509: Thomas A. DeFanti, weight = 386
4510: Marios S. Pattichis, weight = 386
4511: Xin Yuan, weight = 386
4512: Yuncai Liu, weight = 386
4513: Jesús S. Aguilar-Ruiz, weight = 386
4514: Bo Shen, weight = 386
4515: Harmke de Groot, weight = 386
4516: Mohammad Taghi Hajiaghayi, weight = 386
4517: Sergio M. Savaresi, weight = 386
4518: Hua Zhong, weight = 386
4519: Sean Bechhofer, weight = 386
4520: Christopher D. Gill, weight = 386
4521: Georg Langs, weight = 386
4522: Luis E. Anido-Rifón, weight = 386
4523: Mary W. Hall, weight = 386
4524: Chao Lu, weight = 386
4525: Junsong Yuan, weight = 386
4526: Kan Zheng, weight = 386
4527: Jasjit S. Suri, weight = 385
4528: Shonali Krishnaswamy, weight = 385
4529: Peer Kröger, weight = 385
4530: Anatole Lécuyer, weight = 385
4531: Saibal Mukhopadhyay, weight = 385
4532: Toyohide Watanabe, weight = 385
4533: Sanjiv Singh, weight = 385
4534: Sebastiano Battiato, weight = 385
4535: Yasuhisa Hasegawa, weight = 385
4536: Mikio Nakano, weight = 385
4537: Nitesh V. Chawla, weight = 385
4538: Giorgio C. Buttazzo, weight = 385
4539: Anthony Vetro, weight = 385
4540: Pawel Kowalski, weight = 385
4541: Yi Jiang, weight = 385
4542: Zahir Tari, weight = 385
4543: Ganesh Gopalakrishnan, weight = 385
4544: Graham Cormode, weight = 385
4545: Salvatore Sessa, weight = 385
4546: Kate R. Rosenbloom, weight = 385
4547: Jodi Forlizzi, weight = 385
4548: Nigel P. Smart, weight = 385
4549: Mehdi Dastani, weight = 384
4550: Ailixier Aikebaier, weight = 384
4551: Ulrich Neumann, weight = 384
4552: John T. Stasko, weight = 384
4553: Michael P. Wellman, weight = 384
4554: Fabrice Mériaudeau, weight = 384
4555: Zhixing Yang, weight = 384
4556: Jeffrey S. Rosenschein, weight = 384
4557: P. Jonathon Phillips, weight = 384
4558: Venkatesh Raman, weight = 384
4559: Renato Lo Cigno, weight = 384
4560: Alessandro Ricci, weight = 384
4561: Ying-Dar Lin, weight = 384
4562: Baokang Zhao, weight = 384
4563: Jelena V. Misic, weight = 384
4564: Chandrajit L. Bajaj, weight = 384
4565: Yifan Zhang, weight = 384
4566: Chang Xu, weight = 384
4567: Hui Tang, weight = 384
4568: Maurice Herlihy, weight = 384
4569: Daniel J. Costello Jr., weight = 384
4570: Ashutosh Saxena, weight = 384
4571: Yike Guo, weight = 383
4572: Marek Cygan, weight = 383
4573: P. M. Melliar-Smith, weight = 383
4574: Alexander Wong, weight = 383
4575: Xiaohui Liang, weight = 383
4576: Wei Xing Zheng, weight = 383
4577: Ahmed Hemani, weight = 383
4578: Michal Silarski, weight = 383
4579: Xiaohu Ge, weight = 383
4580: Muhammad Younas, weight = 383
4581: Jie Zhao, weight = 383
4582: Horst K. Hahn, weight = 383
4583: Fangguo Zhang, weight = 383
4584: Xicheng Lu, weight = 383
4585: Yoshiaki Shirai, weight = 383
4586: Philip J. Edwards, weight = 383
4587: Matthias A. Blumrich, weight = 383
4588: Pawel Moskal, weight = 383
4589: Kunihiro Asada, weight = 383
4590: Ling Feng, weight = 383
4591: Ninghui Li, weight = 383
4592: Shinji Kusumoto, weight = 383
4593: Jamie Shotton, weight = 383
4594: Qi Han, weight = 383
4595: Jerzy Smyrski, weight = 383
4596: Marcin Zielinski, weight = 383
4597: Frank Mueller, weight = 383
4598: David W. Aha, weight = 383
4599: James Won-Ki Hong, weight = 383
4600: Abel Ureta-Vidal, weight = 383
4601: Eric Rogers, weight = 383
4602: Juan Luis Jiménez Laredo, weight = 383
4603: Anant Agarwal, weight = 383
4604: Gianluigi Ferrari, weight = 382
4605: Arie van Deursen, weight = 382
4606: Jun Fang, weight = 382
4607: Thomas Hess, weight = 382
4608: Christian Wagner, weight = 382
4609: Beth Plale, weight = 382
4610: Amedeo Cesta, weight = 382
4611: Wufan Chen, weight = 382
4612: Lian Li, weight = 382
4613: Alexander Seitel, weight = 382
4614: Rui Zhang 0006, weight = 382
4615: Engsiong Chng, weight = 382
4616: William M. McLaren, weight = 382
4617: Tsutomu Hasegawa, weight = 382
4618: Weisong Shi, weight = 382
4619: Rita Casadio, weight = 382
4620: M. Howard Williams, weight = 382
4621: Sebastiano Fabio Schifano, weight = 382
4622: Susan B. Davidson, weight = 382
4623: João Barros, weight = 382
4624: Marcelo Dias de Amorim, weight = 382
4625: Robert Biddle, weight = 382
4626: Werner Nutt, weight = 382
4627: William W. Cohen, weight = 382
4628: Yinong Chen, weight = 382
4629: Alexander Egyed, weight = 382
4630: Alan Fekete, weight = 382
4631: Behrooz Shirazi, weight = 382
4632: Kiyomichi Araki, weight = 382
4633: Judith Kelner, weight = 382
4634: Guofei Jiang, weight = 382
4635: Gaël Varoquaux, weight = 382
4636: Houari A. Sahraoui, weight = 382
4637: Aaron Fenster, weight = 382
4638: Qinyu Zhang, weight = 382
4639: Emil Björnson, weight = 382
4640: Amir K. Khandani, weight = 382
4641: Jordi Cortadella, weight = 382
4642: Manoj Singh Gaur, weight = 382
4643: Ye Li, weight = 381
4644: Moshe Tennenholtz, weight = 381
4645: Kenji Araki, weight = 381
4646: Dirk Lefeber, weight = 381
4647: Jia Xu, weight = 381
4648: Sheng Liu, weight = 381
4649: Il-Yeol Song, weight = 381
4650: Yu Jiang, weight = 381
4651: Syed Ali Jafar, weight = 381
4652: Maristella Matera, weight = 381
4653: Massimo Violante, weight = 381
4654: Christel Baier, weight = 381
4655: Riccardo Leonardi, weight = 381
4656: Magdy S. Abadir, weight = 381
4657: Mads Nielsen, weight = 381
4658: Stefan Werner, weight = 381
4659: Jan Platos, weight = 381
4660: Süleyman Cenk Sahinalp, weight = 381
4661: Liviu Iftode, weight = 381
4662: Joseph K. Liu, weight = 381
4663: Jeff Magee, weight = 381
4664: Jinglin Shi, weight = 381
4665: Steve Whittaker, weight = 381
4666: Jan A. Kors, weight = 381
4667: Juancarlos Chan, weight = 381
4668: Jae Wook Jeon, weight = 381
4669: Wolfgang Minker, weight = 381
4670: Dawu Gu, weight = 381
4671: Lejla Batina, weight = 381
4672: Susumu Horiguchi, weight = 381
4673: David H. Laidlaw, weight = 381
4674: Helmut Prendinger, weight = 380
4675: Burkhard Monien, weight = 380
4676: Martine De Cock, weight = 380
4677: Prabir Bhattacharya, weight = 380
4678: Olivier D. Faugeras, weight = 380
4679: Winfried Lamersdorf, weight = 380
4680: Guohui Lin, weight = 380
4681: Soung Chang Liew, weight = 380
4682: Y. Zhang, weight = 380
4683: Yale N. Patt, weight = 380
4684: Anish Arora, weight = 380
4685: Gilad J. Kuperman, weight = 380
4686: Krzysztof Janowicz, weight = 380
4687: Stefano Russo, weight = 380
4688: Liuqing Yang, weight = 380
4689: Dawn Song, weight = 380
4690: Benjamin W. Wah, weight = 380
4691: Carol Friedman, weight = 380
4692: Nicolas D. Georganas, weight = 380
4693: Peter D. Karp, weight = 380
4694: Jean-Claude Latombe, weight = 380
4695: Horace Ho-Shing Ip, weight = 380
4696: Sandip Kundu, weight = 380
4697: Nikhil Bansal, weight = 380
4698: Bernd Mohr, weight = 380
4699: Konstantin Avrachenkov, weight = 380
4700: Jitender S. Deogun, weight = 380
4701: Heikki Mannila, weight = 380
4702: Philippe Rocca-Serra, weight = 380
4703: Tareq Y. Al-Naffouri, weight = 380
4704: Marianne Huchard, weight = 380
4705: David Wetherall, weight = 379
4706: Dongfeng Yuan, weight = 379
4707: Hyoung-Kyu Song, weight = 379
4708: Ryen W. White, weight = 379
4709: Toshihisa Takagi, weight = 379
4710: Kevin Buchin, weight = 379
4711: Gwo-Jen Hwang, weight = 379
4712: Bram Adams, weight = 379
4713: Qinghua Hu, weight = 379
4714: Hamid Reza Karimi, weight = 379
4715: Hiroaki Kobayashi, weight = 379
4716: Hidenori Itoh, weight = 379
4717: Jean-Luc Dekeyser, weight = 379
4718: Hongyi Li, weight = 379
4719: David Landsman, weight = 379
4720: Andris Ambainis, weight = 379
4721: Jinglu Hu, weight = 379
4722: Baile Shi, weight = 379
4723: Ákos Lédeczi, weight = 379
4724: Roel Wieringa, weight = 379
4725: Francisco Sandoval Hernández, weight = 379
4726: Qianhong Wu, weight = 379
4727: Sanjeev Kumar, weight = 379
4728: Bo Cheng, weight = 379
4729: Thomas Mandl, weight = 379
4730: Keping Long, weight = 379
4731: Thomas Hérault, weight = 379
4732: Thomas Nolte, weight = 379
4733: Zhi Yang, weight = 379
4734: Michel Barlaud, weight = 378
4735: David Kotz, weight = 378
4736: Gert Cauwenberghs, weight = 378
4737: Kenneth Y. Goldberg, weight = 378
4738: Yue Pan, weight = 378
4739: Jure Leskovec, weight = 378
4740: Hiram Clawson, weight = 378
4741: Piotr Salabura, weight = 378
4742: Tadanori Mizuno, weight = 378
4743: Habib Benali, weight = 378
4744: Kazuya Yoshida, weight = 378
4745: Koji Nii, weight = 378
4746: Bayan S. Sharif, weight = 378
4747: Ulf Schlichtmann, weight = 378
4748: Paul Erdös, weight = 378
4749: Ambuj K. Singh, weight = 378
4750: Malek Adjouadi, weight = 378
4751: Minghua Chen, weight = 378
4752: Kazuhisa Makino, weight = 378
4753: Marco Danelutto, weight = 378
4754: Andreas Timm-Giel, weight = 378
4755: Joel W. Burdick, weight = 378
4756: Kuo-Chin Fan, weight = 378
4757: Wynne Hsu, weight = 378
4758: Walter Brenner, weight = 378
4759: Graziano Pesole, weight = 378
4760: Songcan Chen, weight = 378
4761: Jordi Cabot, weight = 378
4762: Szymon Niedzwiecki, weight = 378
4763: Zhiyong Huang, weight = 377
4764: Alessandro Vanelli-Coralli, weight = 377
4765: Hiroyuki Kajimoto, weight = 377
4766: Zhou Wang, weight = 377
4767: Richard Demo Souza, weight = 377
4768: Jianping Pan, weight = 377
4769: Hao Yin, weight = 377
4770: Francisco Tirado, weight = 377
4771: Takeaki Uno, weight = 377
4772: Torben Bach Pedersen, weight = 377
4773: Sheqin Dong, weight = 377
4774: Tim Oates, weight = 377
4775: Randal C. Burns, weight = 377
4776: Conrad Steenberg, weight = 377
4777: Tohru Kikuno, weight = 377
4778: Xiaofeng Meng, weight = 377
4779: Frederic T. Chong, weight = 377
4780: Michael Zakharyaschev, weight = 377
4781: Sen Wang, weight = 377
4782: Jiang Xu, weight = 377
4783: Christopher Ré, weight = 377
4784: Cecilia Metra, weight = 377
4785: Michael Krivelevich, weight = 377
4786: Ulrike Sattler, weight = 377
4787: José Santos-Victor, weight = 377
4788: Bin Cui, weight = 377
4789: Adam Strzelecki, weight = 377
4790: Xing Wang, weight = 377
4791: Masatoshi Yoshikawa, weight = 377
4792: Piotr Bialas, weight = 377
4793: Shafi Goldwasser, weight = 377
4794: Fang Yang, weight = 377
4795: Hideaki Takeda 0001, weight = 377
4796: Morris Sloman, weight = 377
4797: Chao Huang, weight = 377
4798: Shou-De Lin, weight = 377
4799: Henry A. Kautz, weight = 377
4800: Alexander A. Shvartsman, weight = 377
4801: James Allan, weight = 377
4802: Karine Megy, weight = 377
4803: Edwin K. P. Chong, weight = 377
4804: Long Zhang, weight = 377
4805: Panayiotis G. Georgiou, weight = 376
4806: Herman Bruyninckx, weight = 376
4807: Daniel L. Rubin, weight = 376
4808: Zainalabedin Navabi, weight = 376
4809: Henk J. Sips, weight = 376
4810: Daniele Riccio, weight = 376
4811: Lin He, weight = 376
4812: David J. Lipman, weight = 376
4813: Alois Ferscha, weight = 376
4814: Wolfgang Heidrich, weight = 376
4815: Are Hjørungnes, weight = 376
4816: Osmar R. Zaïane, weight = 376
4817: Pedro José Marrón, weight = 376
4818: David C. Parkes, weight = 376
4819: Mario Porrmann, weight = 376
4820: Yao Lu, weight = 376
4821: Shyan-Ming Yuan, weight = 376
4822: Alex X. Liu, weight = 376
4823: Ashish Goel, weight = 376
4824: Elad Alon, weight = 376
4825: Gokhan Memik, weight = 376
4826: Rudolf Kruse, weight = 376
4827: Mengdao Xing, weight = 376
4828: Yalin Wang, weight = 376
4829: Xun Wang, weight = 376
4830: Nelson Morgan, weight = 376
4831: Barbara Paech, weight = 376
4832: Jens Lehmann, weight = 375
4833: Natalia Zon, weight = 375
4834: Lech Raczynski, weight = 375
4835: Amos Fiat, weight = 375
4836: Gao Cong, weight = 375
4837: Xiaofei Wang, weight = 375
4838: Reinhard Männer, weight = 375
4839: Kenichi Higuchi, weight = 375
4840: Ayumi Shinohara, weight = 375
4841: Karl Tuyls, weight = 375
4842: Manolis Tsiknakis, weight = 375
4843: Mark Guzdial, weight = 375
4844: Mohammad Tehranipoor, weight = 375
4845: Robert L. Grossman, weight = 375
4846: Han Zhang, weight = 375
4847: Siegfried Benkner, weight = 375
4848: Jakub Kowal, weight = 375
4849: B. V. K. Vijaya Kumar, weight = 375
4850: Khaled Ghédira, weight = 375
4851: Darrell D. E. Long, weight = 375
4852: Noureddine Boudriga, weight = 375
4853: Manuel G. Penedo, weight = 375
4854: John Makhoul, weight = 375
4855: Francisco José García-Peñalvo, weight = 374
4856: Marília Curado, weight = 374
4857: Dong-Ho Cho, weight = 374
4858: Marco Tomassini, weight = 374
4859: Erkki Sutinen, weight = 374
4860: Pieter H. Hartel, weight = 374
4861: Sergios Theodoridis, weight = 374
4862: Li Song, weight = 374
4863: Jia Yu, weight = 374
4864: Magdy A. Bayoumi, weight = 374
4865: Ajoy Kumar Datta, weight = 374
4866: Stefan Fischer 0001, weight = 374
4867: Alvaro A. A. Fernandes, weight = 374
4868: Fan Wang, weight = 374
4869: Lydia E. Kavraki, weight = 374
4870: Marie-Paule Cani, weight = 374
4871: Wolfgang Fichtner, weight = 374
4872: Maryann E. Martone, weight = 374
4873: Philippe Maurine, weight = 374
4874: Chin-Sean Sum, weight = 374
4875: Vijay Laxmi, weight = 374
4876: Ling-Yu Duan, weight = 374
4877: Grzegorz Korcyl, weight = 374
4878: Lukasz Kaplon, weight = 373
4879: Mark S. Nixon, weight = 373
4880: Marek Palka, weight = 373
4881: Maria Ganzha, weight = 373
4882: Tomaso A. Poggio, weight = 373
4883: Andrzej Lingas, weight = 373
4884: Sally A. McKee, weight = 373
4885: Radu Grosu, weight = 373
4886: Andrzej Kochanowski, weight = 373
4887: Albert G. Greenberg, weight = 373
4888: Mike Thelwall, weight = 373
4889: Noah A. Smith, weight = 373
4890: Mirjana Ivanovic, weight = 373
4891: Xiaolin Wang, weight = 373
4892: Claudio Casetti, weight = 373
4893: Martin J. Wainwright, weight = 373
4894: Sandeep K. S. Gupta, weight = 373
4895: Ben Glocker, weight = 373
4896: Alexander Russell, weight = 373
4897: Juan de Lara, weight = 373
4898: Tomasz Kozik, weight = 373
4899: Neha Gupta-Sharma, weight = 373
4900: Hideki Kashioka, weight = 373
4901: Steve Counsell, weight = 373
4902: Gunnar Rätsch, weight = 373
4903: Yunji Chen, weight = 373
4904: Tatsuya Suda, weight = 373
4905: Zbigniew Rudy, weight = 373
4906: Eryk Czerwinski, weight = 373
4907: José M. Troya, weight = 373
4908: Ulrich Rüde, weight = 373
4909: Marcin Molenda, weight = 373
4910: Paul Coteus, weight = 373
4911: Artur Slomski, weight = 373
4912: Jason I. Hong, weight = 373
4913: Chua-Chin Wang, weight = 373
4914: Tomasz Bednarski, weight = 373
4915: Wojciech Krzemien, weight = 373
4916: Paul Crumley, weight = 373
4917: Anantha P. Chandrakasan, weight = 373
4918: Jianmin Jiang, weight = 372
4919: Fabrizio Frati, weight = 372
4920: Baruch Schieber, weight = 372
4921: Jian-Huang Lai, weight = 372
4922: Mohamad Sawan, weight = 372
4923: Jun Zhao, weight = 372
4924: Andrea Clematis, weight = 372
4925: Shiping Chen, weight = 372
4926: Eduard Alarcón, weight = 372
4927: Douglas C. Creighton, weight = 372
4928: Csaba D. Tóth, weight = 372
4929: Zoran Obradovic, weight = 372
4930: Yufei Tao, weight = 372
4931: Keigo Watanabe, weight = 372
4932: Toniann Pitassi, weight = 372
4933: Olivier Temam, weight = 372
4934: Michael Granitzer, weight = 372
4935: Jean-Yves Le Boudec, weight = 372
4936: Michael L. Honig, weight = 372
4937: Michael DiCuccio, weight = 372
4938: Jerzy Tyszer, weight = 372
4939: Raymond A. Paul, weight = 372
4940: Xiao Chen, weight = 372
4941: Sanjeev R. Kulkarni, weight = 372
4942: Andrzej Duda, weight = 372
4943: Sanjay Kumar Madria, weight = 372
4944: Magali Ruffier, weight = 371
4945: Zhigang Chen, weight = 371
4946: Richard Hull, weight = 371
4947: Sasu Tarkoma, weight = 371
4948: Greg Aloupis, weight = 371
4949: Un-Ku Moon, weight = 371
4950: Bo Han, weight = 371
4951: Wei Su, weight = 371
4952: Victor Maojo, weight = 371
4953: Lars Schmidt-Thieme, weight = 371
4954: Jianzhuang Liu, weight = 371
4955: Devavrat Shah, weight = 371
4956: Julian Togelius, weight = 371
4957: Robert A. Greenes, weight = 371
4958: Bo Gao, weight = 371
4959: Yoichi Miyake, weight = 371
4960: Wen Li, weight = 371
4961: Ye Yang, weight = 371
4962: Fred Glover, weight = 371
4963: Luca Console, weight = 371
4964: Anthony Brabazon, weight = 371
4965: Seok-Hee Hong, weight = 371
4966: Rob Procter, weight = 371
4967: Bernhard Plattner, weight = 371
4968: Peter J. Smith, weight = 371
4969: Bram Nauta, weight = 371
4970: Deqing Zou, weight = 371
4971: T. J. Christopher Ward, weight = 371
4972: Sarvapali D. Ramchurn, weight = 371
4973: Leila De Floriani, weight = 371
4974: Hanan Samet, weight = 371
4975: Philippe Perdu, weight = 371
4976: Felix Naumann, weight = 371
4977: Sabina Jeschke, weight = 371
4978: André Bourdoux, weight = 371
4979: Ju H. Park, weight = 371
4980: Kostas Karpouzis, weight = 371
4981: Karim Abed-Meraim, weight = 371
4982: Patrick Pérez, weight = 370
4983: Haitao Zheng, weight = 370
4984: Alexander Felfernig, weight = 370
4985: Pierpaolo Degano, weight = 370
4986: Amitava Ghosh, weight = 370
4987: Michel Robert, weight = 370
4988: Deanna M. Church, weight = 370
4989: Christos Makris, weight = 370
4990: Silvana Castano, weight = 370
4991: Adi Shamir, weight = 370
4992: Tak-Wai Chan, weight = 370
4993: Mianxiong Dong, weight = 370
4994: Antonia Bertolino, weight = 370
4995: Erik M. van Mulligen, weight = 370
4996: Luis Bernardo, weight = 370
4997: Vikram Krishnamurthy, weight = 370
4998: Hongye Su, weight = 370
4999: Uichin Lee, weight = 370
5000: Takao Nishizeki, weight = 370
5001: Inmaculada García, weight = 370
5002: Isao Echizen, weight = 370
5003: Frederick C. Harris Jr., weight = 370
5004: Mauro Conti, weight = 370
5005: Josep Solé-Pareta, weight = 370
5006: Tapani Ristaniemi, weight = 370
5007: Huawei Li, weight = 370
5008: Yun Liu, weight = 370
5009: Paulo Carvalho, weight = 370
5010: Francisco Ruiz, weight = 370
5011: Jamal Bentahar, weight = 370
5012: Alper Buyuktosunoglu, weight = 370
5013: Ke Chen, weight = 370
5014: Norman P. Jouppi, weight = 369
5015: Eric Beyne, weight = 369
5016: Catuscia Palamidessi, weight = 369
5017: Michael J. Schulte, weight = 369
5018: Kazuo Sakiyama, weight = 369
5019: Joshua B. Tenenbaum, weight = 369
5020: Mark Rouncefield, weight = 369
5021: Douglas D. O'Shaughnessy, weight = 369
5022: Stephen M. Pizer, weight = 369
5023: Jörn Ostermann, weight = 369
5024: Marie-France Sagot, weight = 369
5025: David A. Forsyth, weight = 369
5026: Jennifer L. Harrow, weight = 369
5027: Joo-Sun Choi, weight = 369
5028: Guoqiang Mao, weight = 369
5029: Henry Leung, weight = 369
5030: Heung Mook Kim, weight = 369
5031: David M. Nicol, weight = 369
5032: Xiangxu Meng, weight = 369
5033: Jia-Guang Sun, weight = 369
5034: Hun-ok Lim, weight = 369
5035: Chu-Ren Huang, weight = 369
5036: Sergio Verdú, weight = 369
5037: Daniel S. Weld, weight = 369
5038: Pierre Dillenbourg, weight = 369
5039: Thomas L. Madden, weight = 369
5040: Ian D. Walker, weight = 369
5041: Seiichi Uchida, weight = 369
5042: Andreas Burg, weight = 369
5043: Piero Mussio, weight = 369
5044: David E. Millard, weight = 369
5045: Olivier Festor, weight = 368
5046: Søren Brunak, weight = 368
5047: Franco Davoli, weight = 368
5048: Le Song, weight = 368
5049: Tibor Bosse, weight = 368
5050: Ricardo Soto, weight = 368
5051: Yunde Jia, weight = 368
5052: Zhong Liu, weight = 368
5053: William G. Griswold, weight = 368
5054: Dirk Grunwald, weight = 368
5055: Enrico Magli, weight = 368
5056: Oliviero Stock, weight = 368
5057: Rui Ma, weight = 368
5058: Kees Goossens, weight = 368
5059: Norman M. Sadeh, weight = 368
5060: Y. Thomas Hou, weight = 368
5061: Paris Avgeriou, weight = 368
5062: Domenico Lembo, weight = 368
5063: Massimiliano Zecca, weight = 368
5064: Wenfei Fan, weight = 368
5065: Jing Peng, weight = 368
5066: Ali Afzali-Kusha, weight = 368
5067: Nikolaos D. Doulamis, weight = 368
5068: Gregory Dudek, weight = 368
5069: Shichao Zhang, weight = 368
5070: Andreas Butz, weight = 368
5071: Mingwei Xu, weight = 368
5072: Hans Uszkoreit, weight = 368
5073: Carlos Guestrin, weight = 368
5074: Jihua Wang, weight = 368
5075: Liu Liu, weight = 368
5076: Robert S. Germain, weight = 367
5077: Hans Tompits, weight = 367
5078: Renato de Mori, weight = 367
5079: Xiaoping Liu, weight = 367
5080: Qi Zhu, weight = 367
5081: Dipak Kumar Basu, weight = 367
5082: Todd C. Mowry, weight = 367
5083: Filomena Ferrucci, weight = 367
5084: Nenad Stojanovic, weight = 367
5085: Yoshinori Takeuchi, weight = 367
5086: Young-Hwan You, weight = 367
5087: Kuanquan Wang, weight = 367
5088: Anders M. Dale, weight = 367
5089: Henning Fernau, weight = 367
5090: Gen-Huey Chen, weight = 367
5091: Nicola Fanizzi, weight = 367
5092: Mehmet A. Orgun, weight = 367
5093: Francesco Mondada, weight = 367
5094: Wei Zhu, weight = 367
5095: Xiangyu Zhang, weight = 367
5096: David C. Van Essen, weight = 367
5097: Susanna-Assunta Sansone, weight = 367
5098: Cristiana Bolchini, weight = 367
5099: Aaron C. Courville, weight = 367
5100: Shiwei Tang, weight = 367
5101: Maxim Likhachev, weight = 367
5102: Julien Epps, weight = 367
5103: Kristina Lerman, weight = 367
5104: Alexander E. Kel, weight = 367
5105: Robert J. Wood, weight = 367
5106: Feng Qian, weight = 366
5107: Zhijun Li, weight = 366
5108: Jane Cleland-Huang, weight = 366
5109: Blake G. Fitch, weight = 366
5110: Thomas Hackl, weight = 366
5111: Yeng Chai Soh, weight = 366
5112: Mehdi Bennis, weight = 366
5113: Xiaodong Xu, weight = 366
5114: Carlos Silvestre, weight = 366
5115: Jing Tian, weight = 366
5116: Domenico Cotroneo, weight = 366
5117: Arye Nehorai, weight = 366
5118: Marc Niethammer, weight = 366
5119: Jude W. Shavlik, weight = 366
5120: Hesham El Gamal, weight = 366
5121: Imre J. Rudas, weight = 366
5122: Holger Karl, weight = 366
5123: Michael F. Cohen, weight = 366
5124: Richard C. Wilson, weight = 366
5125: Guillaume Gravier, weight = 366
5126: Robert Vaughan, weight = 366
5127: Daniel Kahn, weight = 366
5128: Elizabeth D. Mynatt, weight = 366
5129: Bala Srinivasan, weight = 366
5130: José M. Bioucas-Dias, weight = 366
5131: Setsuo Tsuruta, weight = 366
5132: Neil A. M. Maiden, weight = 366
5133: Richard J. Lipton, weight = 366
5134: José M. Molina, weight = 366
5135: Mary Lou Soffa, weight = 366
5136: Sanghyun Park, weight = 365
5137: Takeshi Tokuyama, weight = 365
5138: Russell Impagliazzo, weight = 365
5139: Mukesh K. Mohania, weight = 365
5140: Boualem Boashash, weight = 365
5141: Francisco J. Quiles, weight = 365
5142: Tao Sun, weight = 365
5143: Xiangming Wen, weight = 365
5144: Marsha Chechik, weight = 365
5145: Jacques M. Bahi, weight = 365
5146: Awais Rashid, weight = 365
5147: Lei Guo 0005, weight = 365
5148: Michalis Vazirgiannis, weight = 365
5149: Daniel J. Friedman, weight = 365
5150: Hirotaka Ono, weight = 365
5151: André Kushniruk, weight = 365
5152: Franz Baader, weight = 365
5153: Santi Caballé, weight = 365
5154: Xiaoyan Sun, weight = 365
5155: Cheng Wu, weight = 365
5156: Dirk T. M. Slock, weight = 365
5157: Gianluca Setti, weight = 365
5158: Rui Yang, weight = 365
5159: Miguel Rocha, weight = 365
5160: Qi Zhao, weight = 365
5161: Konstantina Papagiannaki, weight = 365
5162: Arnau Oliver, weight = 365
5163: Hao Zhu, weight = 365
5164: Florentino Fdez-Riverola, weight = 365
5165: Gyu-Hyeong Cho, weight = 365
5166: Mário A. T. Figueiredo, weight = 365
5167: Christopher Nimsky, weight = 365
5168: Rangaraj M. Rangayyan, weight = 365
5169: Rolf Johansson, weight = 365
5170: Sébastien Gérard, weight = 365
5171: Andy M. Tyrrell, weight = 365
5172: Amit Agarwal, weight = 365
5173: Etienne Burdet, weight = 365
5174: Dimosthenis Kyriazis, weight = 365
5175: Premkumar T. Devanbu, weight = 364
5176: Herbert Van de Sompel, weight = 364
5177: Harvey B. Newman, weight = 364
5178: Shui Yu, weight = 364
5179: Pamela C. Cosman, weight = 364
5180: R. Srikant, weight = 364
5181: Romit Roy Choudhury, weight = 364
5182: Martin C. Rinard, weight = 364
5183: Paul R. Cohen, weight = 364
5184: Hongli Zhang, weight = 364
5185: David A. Wood, weight = 364
5186: Jinpeng Huai, weight = 364
5187: Masao Yanagisawa, weight = 364
5188: Christoph Steinbeck, weight = 364
5189: Alessandro Moschitti, weight = 364
5190: Erich J. Neuhold, weight = 364
5191: Brian Henderson-Sellers, weight = 364
5192: Giuseppe Lipari, weight = 364
5193: Jan O. Borchers, weight = 364
5194: Luis Villaseñor Pineda, weight = 364
5195: Alex D. Leow, weight = 364
5196: Alfred M. Bruckstein, weight = 364
5197: Ronitt Rubinfeld, weight = 364
5198: Ian D. Reid 0001, weight = 364
5199: Xuan Zeng, weight = 364
5200: Lizhu Zhou, weight = 364
5201: Alex L. Mitchell, weight = 364
5202: Joseph Sifakis, weight = 364
5203: Elisabetta Di Nitto, weight = 364
5204: Harald Reiterer, weight = 364
5205: Carlos Cotta, weight = 364
5206: Bum-Jae You, weight = 364
5207: Shitong Wang, weight = 364
5208: Giuseppe Bianchi, weight = 364
5209: François Bry, weight = 364
5210: Guang Yang, weight = 364
5211: Franz Wotawa, weight = 364
5212: Hayder Radha, weight = 364
5213: Nicoletta Calzolari, weight = 364
5214: Zongpeng Li, weight = 364
5215: Chun-Yi Su, weight = 363
5216: John Iacono, weight = 363
5217: Fabrizio Silvestri, weight = 363
5218: Mohamed Othman, weight = 363
5219: Frank Maurer, weight = 363
5220: Paul E. Rybski, weight = 363
5221: Liqing Zhang, weight = 363
5222: Tao Qin, weight = 363
5223: Matteo Baldoni, weight = 363
5224: Nacho Navarro, weight = 363
5225: Bülent Sankur, weight = 363
5226: Ina Schaefer, weight = 363
5227: Vladimir Stankovic, weight = 363
5228: Kenichi Ohara, weight = 363
5229: Csaba Szepesvári, weight = 363
5230: Sophie Rosset, weight = 363
5231: Quan Liu, weight = 363
5232: Kejie Lu, weight = 363
5233: Sun I. Kim, weight = 363
5234: Pallab Dasgupta, weight = 363
5235: Norman I. Badler, weight = 363
5236: Xinyu Wu, weight = 363
5237: Jordi Gonzàlez, weight = 363
5238: Carmelita Görg, weight = 363
5239: Claude Godart, weight = 363
5240: John C. Grundy, weight = 363
5241: Manuel Prieto, weight = 363
5242: Emanuele Menegatti, weight = 363
5243: Frank M. Shipman III, weight = 363
5244: Ramendra K. Sahoo, weight = 363
5245: Hanne Riis Nielson, weight = 362
5246: Xinge You, weight = 362
5247: Guy Gogniat, weight = 362
5248: Hongwei Zhang, weight = 362
5249: Yahiko Kambayashi, weight = 362
5250: Michael Fisher, weight = 362
5251: Jan Craninckx, weight = 362
